gene1,gene2,combined_score
KLC4,KIF20A,572
PKMYT1,KIF20A,446
PKMYT1,KIF20A,446
ASF1B,KIF20A,840
ASF1B,KIF20A,840
TMPO,KIF20A,516
TMPO,KIF20A,516
CDCA5,KIF20A,880
CDCA5,KIF20A,880
CENPU,KIF20A,564
CENPU,KIF20A,564
TPX2,KIF20A,972
TPX2,KIF20A,972
BUB1,KIF20A,959
BUB1,KIF20A,959
CKS1B,KIF20A,503
CKS1B,KIF20A,503
CLSPN,KIF20A,406
CLSPN,KIF20A,406
TYMS,KIF20A,682
TYMS,KIF20A,682
CHAF1B,KIF20A,556
CHAF1B,KIF20A,556
CDC25C,KIF20A,849
CDC25C,KIF20A,849
TUBB,KIF20A,465
TUBB,KIF20A,465
TTK,KIF20A,923
TTK,KIF20A,923
CEP55,KIF20A,962
CEP55,KIF20A,962
ZWINT,KIF20A,887
ZWINT,KIF20A,887
CKS2,KIF20A,666
CKS2,KIF20A,666
PCNA,KIF20A,429
PCNA,KIF20A,429
PTTG1,KIF20A,900
PTTG1,KIF20A,900
RALA,CDK1,409
RALA,CDK1,409
MCM5,CDK1,740
MCM5,CDK1,740
NFKBIA,CDK1,440
NFKBIA,CDK1,440
GMNN,CDK1,867
GMNN,CDK1,867
MND1,CDK1,805
MND1,CDK1,805
GINS2,CDK1,659
GINS2,CDK1,659
ESPL1,CDK1,995
ESPL1,CDK1,995
PKMYT1,CDK1,995
PKMYT1,CDK1,995
PRDX1,CDK1,485
PRDX1,CDK1,485
LIG1,CDK1,476
LIG1,CDK1,476
ASF1B,CDK1,641
ASF1B,CDK1,641
TMPO,CDK1,491
TMPO,CDK1,491
SAE1,CDK1,402
SAE1,CDK1,402
CDCA5,CDK1,979
CDCA5,CDK1,979
CENPU,CDK1,914
CENPU,CDK1,914
TPX2,CDK1,952
TPX2,CDK1,952
BUB1,CDK1,998
BUB1,CDK1,998
CKS1B,CDK1,999
CKS1B,CDK1,999
CLSPN,CDK1,730
CLSPN,CDK1,730
TYMS,CDK1,846
TYMS,CDK1,846
CHAF1B,CDK1,427
CHAF1B,CDK1,427
CDC25C,CDK1,999
CDC25C,CDK1,999
TUBB,CDK1,574
TUBB,CDK1,574
EIF4EBP1,CDK1,410
EIF4EBP1,CDK1,410
GATA2,CDK1,494
GATA2,CDK1,494
NUCKS1,CDK1,631
