gene_name,significant,difference,logpval
DIP2B,+,0.559195995330811,1.32407704875381
CTSK,+,0.546794414520264,1.47067438913689
RFC4,+,-0.423549890518188,2.47908285708618
FUCA1,+,0.933190584182739,2.31098774017687
HIST1H2BD,+,0.539844274520874,1.54925152837472
STAP1,+,-0.52398419380188,1.72848677365907
MED13L,+,0.422368049621582,1.49807985086116
CASC5,+,-0.320457935333252,1.31295428621611
SRD5A3,+,0.527595520019531,1.42069786713099
PNPLA2,+,0.437246561050415,1.63402214977591
TRIM38,+,0.3542160987854,1.47356798772743
GUK1,+,0.27537989616394,1.34761693153815
NCAPD2,+,-0.279050588607788,1.62875109413453
HLA-E,+,0.487591028213501,1.42914341449123
GTF2IRD2,+,0.482977628707886,1.69797258471793
GTF2IRD2B,+,0.482977628707886,1.69797258471793
UCP3,+,0.821820795536041,1.69134394885387
STAT2,+,0.435622930526733,1.96538915526703
P2RX7,+,1.33374202251434,1.73440634726352
SMIM17,+,1.10474324226379,3.17020525110913
LBX2,+,0.950132548809052,1.32877536687495
mmp20,+,0.640465140342712,1.52369104782301
MMP25,+,0.640465140342712,1.52369104782301
ASPM,+,-0.380911827087402,1.45955638187093
IRAK2,+,1.35431551933289,2.17125293682405
MTRNR2L8,+,0.273483276367188,2.1253221342471
TSPAN7,+,2.70507764816284,2.63659048484551
SOWAHC,+,2.45122766494751,1.81295181865684
PRIM1,+,-0.398717880249023,2.13394461354312
KIAA0895L,+,0.443084001541138,1.35198872470982
FOSL2,+,0.689461946487427,1.89305204803873
TSC1,+,0.453174591064453,2.33658334384798
C1QTNF4,+,1.84972578287125,2.05140510245186
PNRC1,+,0.659296035766602,2.28582529529501
PCYT2,+,-0.352001428604126,1.42549247097464
FAM209A,+,1.14624062180519,1.66519283396488
MPP7,+,0.636157512664795,1.31831594048827
ERMN,+,0.767069578170776,1.77119190507624
TCEA2,+,0.646392107009888,2.68385505934026
RAB13,+,0.626640558242798,1.51318217715506
MAPK8IP3,+,0.569137811660767,1.89946002777505
HECTD4,+,0.538526058197021,1.782296711045
DNAJC4,+,0.52761697769165,2.93509505455828
TMEM86B,+,0.597272038459778,1.45247695310688
KIF4A,+,-0.390849590301514,1.57433897081418
TMEM187,+,0.333784818649292,1.80720784220279
LRRC16A,+,0.857669353485107,1.31314033285018
NCOA4,+,0.515254497528076,1.39063268463279
PRR11,+,-0.512754917144775,2.47262935851856
SLC22A18,+,0.725574612617493,1.64775085006676
IER2,+,1.06247568130493,1.67678353600909
CTSB,+,0.599632263183594,1.48657695443453
SLC37A1,+,0.631820917129517,1.52268364706706
MRPL24,+,-0.224615573883057,1.51138419434924
PBXIP1,+,0.324049234390259,1.49445303576743
QSOX2,+,0.319270133972168,1.63478956349481
HACD3,+,-0.270181179046631,1.48182415160241
GPX1,+,1.44295048713684,1.33924765923766
ATXN7L1,+,0.58103609085083,1.42626616743051
NACC2,+,0.427275657653809,1.70336167578311
TM2D2,+,0.430111408233643,2.18937509144579
MYH7B,+,0.865224242210388,1.91446391262421
TNFRSF4,+,1.17312890291214,1.30710497866341
PTK7,+,0.606921434402466,1.532130131536
TUBA1A,+,-0.395399808883667,1.33195843108431
VASH1,+,0.833523511886597,2.22636591794269
TOM1L2,+,0.430850505828857,1.41015351900043
ETV5,+,-1.05805695056915,3.42472219420323
SYTL2,+,1.27028834819794,1.58330848111146
LMO4,+,0.787909507751465,1.44747627490074
FBXO38,+,0.263770580291748,1.52279438472948
CTTN,+,0.756958961486816,1.64288143399588
FSCN1,+,-0.468150854110718,1.94004909693537
SAT1,+,0.430382013320923,1.43828072255364
TMEM178A,+,1.6688312292099,2.4889683152862
STMN1,+,-0.515949010848999,1.78881057490415
CCDC167,+,-0.340050220489502,1.34647595688605
OXCT1,+,-0.336499452590942,1.48163292764827
MAD2L1,+,-0.475989818572998,2.28706514449652
