gene,logFC,QValue,KO_condition
ANKEF1,-0.870640569808244,0.046070023569879,KCTD5
CEP41,-0.870244008533047,0.0212233853921371,KCTD5
BTBD9,-0.869978835883752,0.00471531748861216,KCTD5
INSYN2B,-0.869925984818281,0.0424511778076666,KCTD5
UNC5B,-0.869838095828777,0.000957065710525647,KCTD5
ARRB1,-0.869789388457812,0.000784234227283956,KCTD5
GLCE,-0.869056543078982,0.000685043448018,KCTD5
LRRC4,-0.867652294868246,0.00506036236704043,KCTD5
TBCEL-TECTA,-0.865590665930178,0.0254892061463805,KCTD5
C3orf62,-0.862103181726073,0.00693795280733114,KCTD5
EN1,-0.861982688819802,0.0261891154202929,KCTD5
RSAD2,-0.861085085397745,0.0493665973242448,KCTD5
ETV1,-0.861037666002955,0.0013109297330645,KCTD5
LHX4,-0.860875753073898,0.00450984759885926,KCTD5
KCNE3,-0.859230092272489,0.00747221682900341,KCTD5
AGA,-0.858738470913788,0.00574152186004248,KCTD5
NAB2,-0.857723351045998,0.00138667835992617,KCTD5
CROCC,-0.857300215639521,0.00513628808297926,KCTD5
DRAM1,-0.856882478270845,0.00549406096029802,KCTD5
IFT22,-0.855801223852265,0.0367188269690248,KCTD5
TMEM199,-0.853384570065857,0.00369112753745036,KCTD5
ATXN1,-0.85266258355757,0.013001778108337,KCTD5
LILRA2,-0.852180934859039,0.0108859665943524,KCTD5
DYNC2H1,-0.850791877781875,0.0439393119690875,KCTD5
ZNF786,-0.847944321579139,0.0252959621125014,KCTD5
MFSD1,-0.843950362009977,0.00251941045899341,KCTD5
