gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
MTRNR2L4,0,0,0,1,0,1
MTRNR2L8,0,0,0,1,0,1
MTSS1,0,0,0,0,1,1
MUC1,0,0,0,0,1,1
NDUFA4L2,0,0,0,1,0,1
MVP,0,0,0,1,0,1
MXD1,0,0,0,1,0,1
MXD4,0,0,0,1,0,1
MYADM,1,0,0,0,0,1
MYBBP1A,0,0,0,0,1,1
MYCT1,1,0,0,0,0,1
MYH3,0,0,0,1,0,1
MYH7B,0,0,0,1,0,1
MVD,0,0,0,1,0,1
MRPL41,0,0,0,1,0,1
MRPS25,1,0,0,0,0,1
MRPS34,1,0,0,0,0,1
MRPS35,0,0,0,1,0,1
MS4A4E,0,0,0,1,0,1
MSANTD2,0,1,0,0,0,1
MSH5-SAPCD1,0,0,0,1,0,1
MSI2,1,0,0,0,0,1
MTFP1,0,0,0,1,0,1
MST1,0,0,0,1,0,1
MT-ATP8,1,0,0,0,0,1
MT-ND3,1,0,0,0,0,1
MT-ND4,1,0,0,0,0,1
MT-ND6,1,0,0,0,0,1
MT1E,0,1,0,0,0,1
MT1G,0,1,0,0,0,1
MT1H,0,0,0,1,0,1
MTERF4,0,0,0,1,0,1
MSMO1,0,0,0,1,0,1
NASP,0,0,0,1,0,1
NAT8L,0,1,0,0,0,1
NBEA,0,1,0,0,0,1
NBR1,0,0,0,0,1,1
NCAPD2,0,0,0,1,0,1
NCAPG,0,0,0,1,0,1
NCAPH,0,0,0,1,0,1
NCF4,1,0,0,0,0,1
MYL12A,0,0,0,0,1,1
NCOA2,0,0,0,0,1,1
NCOA4,0,0,0,1,0,1
NCOA6,0,0,0,0,1,1
NCS1,0,1,0,0,0,1
NDC80,0,0,0,1,0,1
NDFIP1,1,0,0,0,0,1
NDRG1,0,0,0,0,1,1
NDST2,0,1,0,0,0,1
NCK2,0,0,0,1,0,1
MYL12B,1,0,0,0,0,1
MYL4,0,1,0,0,0,1
MYL5,0,0,0,1,0,1
MYLIP,0,0,0,1,0,1
MYLK,0,0,0,0,1,1
MYO15A,0,1,0,0,0,1
MYO15B,0,1,0,0,0,1
MYO18B,0,0,0,1,0,1
NAPA,1,0,0,0,0,1
MYO6,0,0,0,1,0,1
MYO7A,0,1,0,0,0,1
MYOM1,0,0,0,1,0,1
MZB1,1,0,0,0,0,1
NAB2,0,1,0,0,0,1
NABP1,0,0,0,1,0,1
NACC2,0,0,0,1,0,1
NADSYN1,0,0,0,1,0,1
NAMPT,0,0,0,0,1,1
MYO1C,0,0,0,0,1,1
PCYT2,0,0,0,1,0,1
PDCD2L,0,1,0,0,0,1
PDCL2,0,1,0,0,0,1
PDE1B,0,1,0,0,0,1
PDE4D,0,1,0,0,0,1
PDGFB,0,1,0,0,0,1
PDHB,0,0,0,1,0,1
PDK4,0,0,0,1,0,1
NT5M,0,1,0,0,0,1
PDLIM5,0,0,0,1,0,1
PECAM1,0,0,1,0,0,1
PECR,0,1,0,0,0,1
PERP,0,1,0,0,0,1
PEX11G,0,0,0,1,0,1
PFDN5,0,0,0,1,0,1
PFKP,0,0,0,0,1,1
PGK1,0,1,0,0,0,1
PDLIM1,1,0,0,0,0,1
PCDHGA4,0,1,0,0,0,1
PCDHGA6,0,1,0,0,0,1
PCDHGA7,0,1,0,0,0,1
PCDHGA8,0,1,0,0,0,1
PCDHGA9,0,1,0,0,0,1
PCDHGB3,0,1,0,0,0,1
PCDHGB4,0,1,0,0,0,1
PCDHGB5,0,1,0,0,0,1
PCYT1A,0,0,0,0,1,1
PCDHGB7,0,1,0,0,0,1
PCDHGC3,0,1,0,0,0,1
PCDHGC5,0,1,0,0,0,1
PCED1A,0,0,0,1,0,1
PCLAF,1,0,0,0,0,1
PCNX2,0,1,0,0,0,1
PCSK4,0,1,0,0,0,1
PCSK6,0,0,0,1,0,1
PCYOX1L,0,1,0,0,0,1
PCDHGB6,0,1,0,0,0,1
PIK3CB,0,0,0,0,1,1
PIK3CG,0,1,0,0,0,1
PIK3R1,1,0,0,0,0,1
PIK3R2,0,0,0,0,1,1
PIK3R5,0,0,1,0,0,1
PIMREG,0,1,0,0,0,1
PINX1,0,0,0,0,1,1
PIPOX,0,0,0,1,0,1
PGM1,0,0,0,0,1,1
PITPNC1,0,0,0,1,0,1
PKHD1L1,0,1,0,0,0,1
PKM,1,0,0,0,0,1
PKP2,0,1,0,0,0,1
PLA2G2C,0,1,0,0,0,1
PLA2G4A,0,0,0,0,1,1
PLA2G6,0,1,0,0,0,1
PLAC8,1,0,0,0,0,1
PIR,0,1,0,0,0,1
PGM2L1,0,1,0,0,0,1
PGR,0,0,0,0,1,1
PGRMC1,0,0,0,1,0,1
PHF11,0,0,0,1,0,1
PHF21A,0,0,0,1,0,1
PHGDH,0,0,0,1,0,1
PHKA1,0,0,0,1,0,1
PHKG1,0,0,0,1,0,1
PIGB,0,1,0,0,0,1
PHLDB2,1,0,0,0,0,1
PHOX2A,0,0,0,0,1,1
PHPT1,1,0,0,0,0,1
PHTF1,0,0,0,1,0,1
PHTF2,0,1,0,0,0,1
PHYKPL,0,0,0,1,0,1
PICK1,0,0,0,1,0,1
PIDD1,1,0,0,0,0,1
PIF1,0,0,0,1,0,1
PHLDA1,0,1,0,0,0,1
OPRD1,0,0,0,1,0,1
OPTN,0,0,0,0,1,1
OR10Z1,0,1,0,0,0,1
OR2AG1,0,1,0,0,0,1
OR8B8,0,1,0,0,0,1
OR8D1,0,1,0,0,0,1
ORAI2,0,0,0,1,0,1
ORC1,0,1,0,0,0,1
PCDHGA3,0,1,0,0,0,1
OSCAR,0,1,0,0,0,1
OSGEP,1,0,0,0,0,1
OSGIN1,0,0,0,1,0,1
OSR2,0,1,0,0,0,1
OTUD1,0,0,0,1,0,1
OVGP1,0,0,0,1,0,1
OVOL1,0,0,0,1,0,1
OXCT1,0,0,0,1,0,1
ORMDL1,0,0,0,1,0,1
NTHL1,0,0,0,1,0,1
NTRK1,0,0,0,0,1,1
NUDC,1,0,0,0,0,1
NUDT1,1,0,0,0,0,1
NUDT5,1,0,0,0,0,1
NUDT8,0,0,0,1,0,1
NUF2,0,0,0,1,0,1
NUP50,0,0,0,1,0,1
OMG,0,1,0,0,0,1
NUPR1,0,1,0,0,0,1
NXF1,0,0,0,1,0,1
OAZ1,1,0,0,0,0,1
ODC1,0,1,0,0,0,1
OFD1,0,0,0,1,0,1
OGT,0,0,0,1,0,1
OIP5,0,0,0,1,0,1
OLAH,0,1,0,0,0,1
OLR1,0,0,0,1,0,1
NUP85,0,1,0,0,0,1
PAQR8,0,1,0,0,0,1
PARK7,1,0,0,0,0,1
PARP1,0,0,0,0,1,1
PARP2,0,1,0,0,0,1
PARP6,0,0,0,1,0,1
PATL2,0,0,0,1,0,1
PBK,0,0,0,0,1,1
PBX2,0,0,0,0,1,1
OXSR1,0,0,0,0,1,1
PCBP4,0,0,0,1,0,1
PCDH1,0,1,0,0,0,1
PCDH10,0,1,0,0,0,1
PCDH12,0,1,0,0,0,1
PCDH9,1,0,0,0,0,1
PCDHGA1,0,1,0,0,0,1
PCDHGA10,0,1,0,0,0,1
PCDHGA11,0,1,0,0,0,1
PCBP2,1,0,0,0,0,1
P2RX4,0,0,0,1,0,1
P2RX7,0,0,0,1,0,1
P2RY14,0,0,0,1,0,1
P2RY8,0,1,0,0,0,1
P4HA1,0,1,0,0,0,1
P4HA2,0,1,0,0,0,1
PABIR1,0,1,0,0,0,1
PABPC1L,0,0,0,1,0,1
PAQR3,0,1,0,0,0,1
PAFAH2,0,0,0,1,0,1
PAG1,0,1,0,0,0,1
PAK4,0,0,0,0,1,1
PAK6,0,1,0,0,0,1
PALD1,0,0,0,1,0,1
PALM2AKAP2,0,1,0,0,0,1
PAN2,0,0,0,1,0,1
