gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
IQGAP1,1.53056959984168e-34,0.286709757492083,0.575,0.321,3.70489677337677e-30,C,IQGAP1
LST1.3,3.40818171560871e-34,0.441348211396888,0.935,0.801,8.24984466080245e-30,C,LST1
CD79B,3.48756699257262e-34,0.316299184399859,0.566,0.324,8.44200466222128e-30,C,CD79B
AC011139.3,3.9522158759526e-34,-0.795060038204984,0,0.205,9.56673374933086e-30,C,AC011139
AMD1,4.01293564915669e-34,-0.435491624949514,0.735,0.849,9.71371203234869e-30,C,AMD1
LMNA,6.97413279014673e-34,-0.678843827658009,59,0.394,1.68815858318292e-29,C,LMNA
HSPH1.2,7.51933034084023e-34,0.334431542489591,0.667,0.4,1.82012910230379e-29,C,HSPH1
GADD45GIP1,7.94404894053808e-34,-0.400675495517378,0.499,0.653,1.92293648654665e-29,C,GADD45GIP1
IGHM.3,9.63043585606405e-34,0.254786613475912,0.625,0.352,2.33114330331886e-29,C,IGHM
TSC22D3.3,1.09119965079109e-33,-0.88528396865801,0.889,0.88,2.6413578747049e-29,C,TSC22D3
PTPN7.2,1.31038439124489e-46,0.406202962186553,0.772,0.506,3.7191645744739e-29,C,PTPN7
NR4A2,2.08987883134601e-33,-0.604062415865171,54,0.383,5.05876069915615e-29,C,NR4A2
MRPL4,3.21695521840005e-33,0.339392547750518,0.874,0.686,7.78696180165915e-29,C,MRPL4
HPGDS,3.96100602360635e-33,0.388695822795191,0.509,0.284,9.58801118074154e-29,C,HPGDS
HSPD1.2,4.20229732791974e-33,0.341943768084312,0.988,0.976,1.01720809119625e-28,C,HSPD1
SYPL1,4.69148785563323e-46,-0.446513909382595,0.891,0.949,1.3562155033458e-28,C,SYPL1
RNASET2,6.29168219862259e-33,-0.392667386759881,0.74,0.836,1.52296459299859e-28,C,RNASET2
SON,6.35955594906866e-33,-0.375596588417136,0.817,0.887,1.53939411303156e-28,C,SON
RPL17.2,6.47937168236857e-33,-0.330087255148294,0.968,0.974,1.56839670943414e-28,C,RPL17
EIF4EBP1,7.61630566728513e-33,0.418022062375996,0.843,0.691,1.84360294982304e-28,C,EIF4EBP1
CD164.3,8.73967110725609e-46,-0.620099148132303,0.869,0.907,2.1552478822241e-28,C,CD164
PSMB10,1.33791279589165e-32,0.331879420517005,0.93,0.794,3.23855171373532e-28,C,PSMB10
DDX5,3.69468415583286e-32,-0.326936534600728,0.988,0.997,8.94335246760902e-28,C,DDX5
TPM3.2,5.27043829702209e-32,0.276509544559658,0.992,0.982,1.27576229417717e-27,C,TPM3
ITPA,5.57810049588332e-32,0.318677969103611,0.755,0.541,1.35023500603352e-27,C,ITPA
ANXA5,5.82178205805149e-32,-0.329706119035335,6,0.332,1.40922056497194e-27,C,ANXA5
POLR2E,6.08338527973974e-32,0.3264725358222,0.915,0.801,1.4725442408138e-27,C,POLR2E
HLA-DPB1.3,7.24611385511015e-32,0.408696837724011,0.997,0.973,1.75399431976796e-27,C,HLA-DPB1
GOLPH3,7.46846670900852e-32,-0.355083599463785,0.335,0.532,1.8078170515826e-27,C,GOLPH3
MFSD10,9.8552315813745e-19,0.31837619499562,0.853,0.652,2.22344773565875e-27,C,MFSD10
WDR34.2,1.25918289524712e-31,0.375662669959898,0.462,0.267,3.04797811623518e-27,C,WDR34
BEX4,1.86204642494173e-31,-0.358588533676516,0.712,0.842,4.50726957621396e-27,C,BEX4
PCNA.3,1.8794526149143e-31,0.633385613850467,0.581,0.379,4.54940299966156e-27,C,PCNA
